id,sex,year,yearborn,age,cohort,offspring,breedingsuccess,weight,morph,indhet,pesL,pesR,headlength,parentgensim,paternity,maternity
738,M,2020,2019,1,MFWS,0,0,NA,Fawn,0.293,NA,NA,NA,NA,11,FD536
1715,F,2017,2016,1,Geeveston,0,0,0.9,Fawn,0.258,58,56.9,89.7,NA,TasInd,TasInd
1715,F,2018,2016,2,Geeveston,3,1,1.275,Fawn,0.258,56.36,56.42333333,90.35333333,NA,TasInd,TasInd
1715,F,2019,2016,3,Geeveston,0,0,1.058,Fawn,0.258,54.45,53.17,93.28,NA,TasInd,TasInd
1715,F,2020,2016,4,Geeveston,0,0,NA,Fawn,0.258,NA,NA,NA,NA,TasInd,TasInd
1801,F,2017,2016,1,MtR transf 2017,0,0,0.768,Fawn,0.347,57.8,57.55,90.95,NA,MtRInd,MtRInd
1801,F,2018,2016,2,MtR transf 2017,0,0,0.785,Fawn,0.347,54,55.7,78.6,NA,MtRInd,MtRInd
1801,F,2019,2016,3,MtR transf 2017,0,0,NA,Fawn,0.347,NA,NA,NA,NA,MtRInd,MtRInd
1801,F,2020,2016,4,MtR transf 2017,0,0,NA,Fawn,0.347,NA,NA,NA,NA,MtRInd,MtRInd
3051,F,2017,2016,1,MtR transf 2017,3,1,0.96,Black,0.372,56.3,56.6,81.65,NA,MtRInd,MtRInd
3051,F,2018,2016,2,MtR transf 2017,0,0,NA,Black,0.372,56.7,56.5,78.1,NA,MtRInd,MtRInd
3051,F,2019,2016,3,MtR transf 2017,0,0,NA,Black,0.372,NA,NA,NA,NA,MtRInd,MtRInd
3051,F,2020,2016,4,MtR transf 2017,0,0,NA,Black,0.372,NA,NA,NA,NA,MtRInd,MtRInd
5156,M,2019,2018,1,MFWS,0,0,0.875,Fawn,0.28,NA,NA,NA,NA,0DD54,BDD65
5156,M,2020,2018,2,MFWS,0,0,NA,Fawn,0.28,NA,NA,NA,NA,0DD54,BDD65
5340,F,2017,2016,1,MtR transf 2017,2,1,0.901,Fawn,0.306,NA,NA,NA,NA,MtRInd,MtRInd
5340,F,2018,2016,2,MtR transf 2017,0,0,1.063,Fawn,0.306,47.7,46.7,75,NA,MtRInd,MtRInd
5340,F,2019,2016,3,MtR transf 2017,0,0,NA,Fawn,0.306,53.8,56.6,88.7,NA,MtRInd,MtRInd
5340,F,2020,2016,4,MtR transf 2017,0,0,NA,Fawn,0.306,NA,NA,NA,NA,MtRInd,MtRInd
18244,M,2016,2015,1,Cygnet,7,1,1.332,Black,0.339,NA,NA,NA,NA,TasInd,TasInd
18244,M,2017,2015,2,Cygnet,1,1,NA,Black,0.339,55.2,53.4,88,NA,TasInd,TasInd
18244,M,2018,2015,3,Cygnet,0,0,NA,Black,0.339,53.8,53.9,85.3,NA,TasInd,TasInd
18244,M,2019,2015,4,Cygnet,0,0,NA,Black,0.339,NA,NA,NA,NA,TasInd,TasInd
18244,M,2020,2015,5,Cygnet,0,0,NA,Black,0.339,NA,NA,NA,NA,TasInd,TasInd
18258,M,2016,2015,1,Uxbridge,0,0,1.22,Fawn,0.282,59.1,61.4,88.5,NA,TasInd,TasInd
18258,M,2017,2015,2,Uxbridge,0,0,NA,Black,0.282,NA,NA,NA,NA,TasInd,TasInd
18258,M,2018,2015,3,Uxbridge,0,0,NA,Black,0.282,NA,NA,NA,NA,TasInd,TasInd
18258,M,2019,2015,4,Uxbridge,0,0,NA,Black,0.282,NA,NA,NA,NA,TasInd,TasInd
18258,M,2020,2015,5,Uxbridge,0,0,NA,Black,0.282,NA,NA,NA,NA,TasInd,TasInd
84125,F,2019,2018,1,MFWS,1,1,0.818,Fawn,0.304,NA,NA,NA,0.310315186,FDC0D,0DD92
84125,F,2020,2018,2,MFWS,0,0,0.905,Fawn,0.304,NA,NA,NA,0.310315186,FDC0D,0DD92
84143,F,2019,2018,1,MFWS,3,1,0.745,Black,0.341,55.175,56.275,83.8,0.323495702,0DC56,83AFE
84143,F,2020,2018,2,MFWS,0,0,0.77,Black,0.341,56.785,56.535,91.395,0.323495702,0DC56,83AFE
84223,F,2019,2018,1,MFWS,0,0,0.715,Black,0.296,51.882,50.354,84.2275,NA,1,D849
84223,F,2020,2018,2,MFWS,0,0,NA,Black,0.296,53.9,53.2,88.2,NA,1,D849
88761,F,2017,2016,1,MFWS,3,1,0.993,Black,0.291,NA,NA,NA,0.25243553,18244,FF0C7
88761,F,2018,2016,2,MFWS,0,0,NA,Black,0.291,NA,NA,NA,0.25243553,18244,FF0C7
88761,F,2019,2016,3,MFWS,0,0,NA,Black,0.291,54.6,53.5,81.1,0.25243553,18244,FF0C7
88761,F,2020,2016,4,MFWS,0,0,NA,Black,0.291,NA,NA,NA,0.25243553,18244,FF0C7
007AE,F,2018,2017,1,MFWS,0,0,0.803,Fawn,0.289,54.05,54.95,81.45,0.271919771,FC42B,FD6C1
007AE,F,2019,2017,2,MFWS,0,0,NA,Fawn,0.289,NA,NA,NA,0.271919771,FC42B,FD6C1
007AE,F,2020,2017,3,MFWS,0,0,NA,Fawn,0.289,NA,NA,NA,0.271919771,FC42B,FD6C1
00B31,F,2017,2016,1,MtR transf 2017,0,0,0.768,Black,0.333,54.2,NA,88.8,NA,MtRInd,MtRInd
00B31,F,2018,2016,2,MtR transf 2017,0,0,NA,Black,0.333,NA,NA,NA,NA,MtRInd,MtRInd
00B31,F,2019,2016,3,MtR transf 2017,0,0,NA,Black,0.333,NA,NA,NA,NA,MtRInd,MtRInd
00B31,F,2020,2016,4,MtR transf 2017,0,0,NA,Black,0.333,NA,NA,NA,NA,MtRInd,MtRInd
00B49,F,2018,2017,1,MFWS,0,0,0.996,Fawn,0.36,55,53.1,80.5,NA,4,C682
00B49,F,2019,2017,2,MFWS,0,0,NA,Fawn,0.36,NA,NA,NA,NA,4,C682
00B49,F,2020,2017,3,MFWS,0,0,NA,Fawn,0.36,NA,NA,NA,NA,4,C682
00B5F,M,2020,2019,1,MFWS,1,1,0.985,Black,0.295,57.5,56.45,95.15,NA,C062B,AD30A
00CC5,F,2018,2017,1,MFWS,0,0,0.75,Black,0.307,51.7,53,84,0.209455587,F1041,0E33F
00CC5,F,2019,2017,2,MFWS,0,0,NA,Black,0.307,NA,NA,NA,0.209455587,F1041,0E33F
00CC5,F,2020,2017,3,MFWS,0,0,NA,Black,0.307,NA,NA,NA,0.209455587,F1041,0E33F
00D36,F,2018,2017,1,MFWS,0,0,0.833,Fawn,0.332,53.774,53.774,53.774,0.276790831,F1041,84E6F
00D36,F,2019,2017,2,MFWS,0,0,0.827,Fawn,0.332,52.23333333,52.43333333,88.4,0.276790831,F1041,84E6F
