id,pop,Born,Origin,Resides,SEX,Morph,Litter
738,MFWS,2019,MFWS,MFWS,M,Fawn,unknown
1715,Geeveston,2016,Geeveston,MFWS,F,Fawn,unknown
1801,MtR,2016,MtR transf 2017,MFWS,F,Fawn,unknown
3051,MtR,2016,MtR transf 2017,MFWS,F,Black,unknown
5156,MFWS,2018,MFWS,MFWS,M,Fawn,unknown
5340,MtR,2016,MtR transf 2017,MFWS,F,Black,unknown
13053,MtR,N/A,MtR,MtR,F,NA,unknown
18244,Cygnet,2015,Cygnet,MFWS,M,Black,unknown
18258,Uxbridge,2015,Uxbridge,MFWS,M,Fawn,unknown
20022,MtR,N/A,MtR,MtR,M,NA,unknown
29118,MtR,N/A,MtR,MtR,NA,NA,unknown
57898,MtR,N/A,MtR,MtR,NA,NA,unknown
84125,MFWS,2018,MFWS,MFWS,F,Black,unknown
84143,MFWS,2018,MFWS,MFWS,F,Black,unknown
84223,MFWS,2018,MFWS,MFWS,F,Black,unknown
88761,MFWS,2016,MFWS,MFWS,F,Fawn,unknown
007AE,MFWS,2017,MFWS,MFWS,F,Fawn,unknown
00B31,MtR,2016,MtR transf 2017,MFWS,F,Black,unknown
00B49,MFWS,2017,MFWS,MFWS,F,Fawn,unknown
00B5F,MFWS,2019,MFWS,MFWS,M,Black,unknown
00CC5,MFWS,2017,MFWS,MFWS,F,Black,unknown
00D36,MFWS,2017,MFWS,MFWS,F,Fawn,unknown
0DC56,MFWS,2017,MFWS,MFWS,M,Fawn,unknown
0DCFE,Surrey Hills,2017,Surrey Hills,MFWS,F,Black,unknown
0DD00,Surrey Hills,2017,Surrey Hills,MFWS,F,Black,unknown
0DD31,MFWS,2016,MFWS,MFWS,F,Fawn,unknown
0DD4C,MFWS,2017,MFWS,MFWS,F,Black,unknown
0DD54,MFWS,2017,MFWS,MFWS,M,NA,unknown
0DD92,MFWS,2017,MFWS,MFWS,F,Black,unknown
0DDE1,Grove,2016,Grove,MFWS,F,Fawn,unknown
0DE28,MFWS,2017,MFWS,MFWS,F,Fawn,unknown
0DEEE,MtR,N/A,MtR,MtR,NA,NA,unknown
0DF4C,MFWS,2017,MFWS,MFWS,M,Black,unknown
0DFC7,MFWS,#N/A,MFWS,MFWS,M,Black,unknown
0E09E,Russell Falls,2016,Russell Falls,MFWS,F,Fawn,unknown
0E0A7,MFWS,2017,MFWS,MFWS,M,Fawn,unknown
0E2A2,MFWS,2017,MFWS,MFWS,M,Black,unknown
0E33F,MFWS,2016,MFWS,MFWS,F,Black,unknown
0E384,Lonnavale,2016,Lonnavale,MFWS,F,Fawn,unknown
1803C,Pelverata,2014,Pelverata,MFWS,F,Fawn,unknown
180F7,MtR,2015,MtR transf 2016,MFWS,F,Fawn,unknown
181C5,Geeveston,2015,Geeveston,MFWS,F,Fawn,unknown
18FE6,MtR,N/A,MtR,MtR,NA,NA,unknown
19C38,MtR,N/A,MtR,MtR,M,NA,unknown
1A8AE,MtR,N/A,MtR,MtR,M,NA,unknown
